merchant,category,amt,trans_date_trans_time,first,last
Olive Garden Restaurant,food_dining,2.98,2019-01-01 16:02:08,Tina,Zimmerman
Pet Grooming Service,kids_pets,177.11,2019-01-01 16:02:19,Allison,Ayala
Fitness Membership,health_fitness,65.62,2019-01-01 16:02:45,Lauren,Torres
Yoga Studio Class,health_fitness,34.7,2019-01-01 16:02:59,Dustin,Roberts
Etsy Handmade,shopping_net,3.89,2019-01-01 16:03:12,Barbara,Taylor
TGI Fridays,food_dining,20.46,2019-01-01 16:04:24,Vicki,Mendoza
Apartment Rent,home,66.65,2019-01-01 16:04:26,Larry,House
Macys Department,shopping_pos,149.58,2019-01-01 16:05:51,Kimberly,Rice
Subway Sandwich,food_dining,82.19,2019-01-01 16:05:53,Ann,Lawson
Enterprise Rental,travel,8.78,2019-01-01 16:05:55,Sarah,Scott
Hotel Accommodation,travel,4.37,2019-01-01 16:06:07,Amanda,Fitzgerald
Kids Activities,kids_pets,4.32,2019-01-01 16:07:26,Justin,Bell
Yoga Studio Class,health_fitness,26.37,2019-01-01 16:07:43,Barbara,Nelson
Personal Trainer,health_fitness,36.45,2019-01-01 16:08:07,Brooke,Smith
Red Lobster,food_dining,78.21,2019-01-01 16:09:33,Elizabeth,Glover
Zara Clothing,shopping_pos,13.7,2019-01-01 16:10:35,Amy,Abbott
Beauty Treatment,personal_care,71.84,2019-01-01 16:10:46,Taylor,Khan
Pet Food,kids_pets,68.67,2019-01-01 16:10:48,Erik,Stevens
CVS Pharmacy Medicine,health_fitness,11.24,2019-01-01 16:12:01,Melissa,Krause
Pizza Hut,food_dining,61.82,2019-01-01 16:12:12,Craig,Franco
Apple Music,entertainment,170.12,2019-01-01 16:12:22,Carrie,Washington
Pet Grooming Service,kids_pets,20.16,2019-01-01 16:13:41,Sara,Ramirez
Utilities Bill,home,1.47,2019-01-01 16:14:06,Michelle,Russell
Electronics Store,shopping_pos,21.99,2019-01-01 16:14:08,Sara,Ramirez
Overstock Online,shopping_net,6.14,2019-01-01 16:14:25,Jackie,Davis
Baby Store Purchase,kids_pets,10.24,2019-01-01 16:15:08,Monica,Cohen
Netflix Subscription,entertainment,10.85,2019-01-01 16:15:49,Ashley,Whitney
Macys Online,shopping_net,5.84,2019-01-01 16:15:59,Alan,Colon
Clothing Store,shopping_pos,1025.38,2019-01-01 16:16:10,Patricia,Leach
Menards Hardware,home,55.84,2019-01-01 16:16:51,David,Miller
Child Care,kids_pets,191.18,2019-01-01 16:17:15,Mary,Juarez
Kids Activities,kids_pets,73.65,2019-01-01 16:18:10,Joseph,Morgan
Prescription Medicine,health_fitness,9.79,2019-01-01 16:18:16,Laura,Johns
Best Buy Online,shopping_net,5.17,2019-01-01 16:18:34,Derrick,Flores
Credit Card Payment,misc_pos,1.74,2019-01-01 16:18:35,Kenneth,Doyle
Barber Shop,personal_care,4.67,2019-01-01 16:18:49,Rachel,Lowe
Petco Pet Store,kids_pets,77.21,2019-01-01 16:19:15,Lisa,Mendez
Target Store,shopping_pos,6.12,2019-01-01 16:20:18,Shelby,Mitchell
Walmart Shopping,shopping_pos,7.67,2019-01-01 16:21:11,Rachel,Daniels
Panera Bread,food_dining,42.98,2019-01-01 16:21:18,Laura,Walker
Flight Ticket,travel,9.98,2019-01-01 16:21:28,Gary,Martinez
Baby Store Purchase,kids_pets,54.0,2019-01-01 16:22:10,Susan,Hernandez
Dentist Appointment,personal_care,17.21,2019-01-01 16:22:26,Monique,Robinson
Dermatologist,personal_care,4.0,2019-01-01 16:22:38,Frederick,Robinson
Veterinarian Visit,kids_pets,5.46,2019-01-01 16:24:00,Jessica,Smith
Internet Bill,home,9.78,2019-01-01 16:24:12,Kimberly,Rice
Loan Payment,misc_pos,8.71,2019-01-01 16:24:16,Julian,Price
Daycare Payment,kids_pets,19.34,2019-01-01 16:24:32,Tracy,Conway
Home Repair,home,29.55,2019-01-01 16:24:46,Tammy,Davis
Day Spa,personal_care,12.73,2019-01-01 16:25:01,John,Stevens
School Supplies,kids_pets,52.54,2019-01-01 16:25:54,Steven,Williams
Cleaning Service,home,47.58,2019-01-01 16:26:09,Brianna,Page
Car Loan Payment,misc_pos,1.93,2019-01-01 16:26:25,Stephanie,Gill
Cafe Lunch,food_dining,5.85,2019-01-01 16:27:08,Jacqueline,Curry
TGI Fridays,food_dining,15.26,2019-01-01 16:27:13,Michael,Francis
Loan Payment,misc_pos,6.11,2019-01-01 16:28:20,Tracy,Conway
Amusement Park,entertainment,23.77,2019-01-01 16:28:53,Beth,Lambert
Concert Tickets,entertainment,91.99,2019-01-01 16:28:54,Mark,Tyler
Best Buy Online,shopping_net,31.09,2019-01-01 16:29:03,Jenna,Brooks
Cleaning Service,home,202.33,2019-01-01 16:29:08,Jared,Camacho
Online Shopping,shopping_net,411.05,2019-01-01 16:29:55,Erin,Chavez
Coffee Shop,food_dining,14.37,2019-01-01 16:30:44,Ashley,Whitney
Target Toys,kids_pets,48.43,2019-01-01 16:31:01,Maria,Roy
Pet Food,kids_pets,10.29,2019-01-01 16:31:19,Jessica,Potter
Paint Store,home,40.46,2019-01-01 16:31:34,Robert,James
Pet Food,kids_pets,48.87,2019-01-01 16:31:50,Bryce,Joseph
Kids Clothing Store,kids_pets,18.68,2019-01-01 16:32:11,Gloria,Wallace
TGI Fridays,food_dining,51.36,2019-01-01 16:33:14,April,Johnson
Applebees Grill,food_dining,61.27,2019-01-01 16:33:45,David,Vasquez
United Airlines,travel,8.5,2019-01-01 16:34:04,Steven,Sanders
Marshall Store,shopping_pos,1.22,2019-01-01 16:34:11,Melissa,Flores
Hardware Store,home,49.92,2019-01-01 16:34:15,Melissa,Mcclure
Victoria Secret,shopping_pos,187.26,2019-01-01 16:34:19,Amanda,Spencer
Yoga Studio Class,health_fitness,28.19,2019-01-01 16:34:27,Jim,Johnson
Southwest Airlines Ticket,travel,8.29,2019-01-01 16:34:54,Jessica,Dominguez
Water Bill,home,12.28,2019-01-01 16:35:10,Christopher,Farrell
Petco Pet Store,kids_pets,17.85,2019-01-01 16:35:34,Lisa,Lowe
Sephora Cosmetics,personal_care,3.52,2019-01-01 16:35:50,Samuel,Frey
Avis Rental Car,travel,456.68,2019-01-01 16:35:54,Ryan,Johnson
Dermatologist,personal_care,82.91,2019-01-01 16:36:40,Christian,Roman
Sports Game Tickets,entertainment,14.94,2019-01-01 16:37:05,Laura,Walker
Dollar Tree,misc_pos,267.29,2019-01-01 16:37:08,Gina,Grimes
Prescription Medicine,health_fitness,79.25,2019-01-01 16:37:09,Mackenzie,Smith
Bed Bath Beyond,home,47.56,2019-01-01 16:37:10,Martin,Duarte
Plumber Service,home,18.25,2019-01-01 16:37:11,Tyler,Mills
CVS Pharmacy Medicine,health_fitness,171.36,2019-01-01 16:37:29,Drew,Garcia
Pet Care,kids_pets,22.46,2019-01-01 16:37:42,Steven,Sanders
Bank ATM Fee,misc_pos,1.92,2019-01-01 16:37:45,Michael,Williams
Forever 21,shopping_pos,7.27,2019-01-01 16:37:53,Carol,Dillon
Property Tax,home,59.22,2019-01-01 16:38:02,Natasha,Mclaughlin
Home Goods Store,home,4.29,2019-01-01 16:39:07,Charles,Moreno
McDonalds Restaurant,food_dining,51.7,2019-01-01 16:39:40,William,Jenkins
Chipotle Mexican,food_dining,11.64,2019-01-01 16:40:13,Michael,Williams
Apple Music,entertainment,85.85,2019-01-01 16:41:24,Sara,Ramirez
Dermatologist,personal_care,51.99,2019-01-01 16:42:39,Walter,Blair
Pet Food,kids_pets,8.51,2019-01-01 16:43:18,Daniel,Melton
House Rent,home,10.56,2019-01-01 16:44:22,Samuel,Sandoval
Domain Registration,misc_net,7.3,2019-01-01 16:44:42,Victoria,Fleming
Home Goods Store,home,10.22,2019-01-01 16:45:32,Stacy,Lambert
Hospital Bill,health_fitness,45.2,2019-01-01 16:46:45,Julia,Bell
Pet Food,kids_pets,97.96,2019-01-01 16:47:23,Jeffery,Sanders
Apartment Rent,home,51.0,2019-01-01 16:49:04,Morgan,Smith
Walmart Shopping,shopping_pos,8.41,2019-01-01 16:49:17,Cheryl,Ballard
Fitness Membership,health_fitness,69.41,2019-01-01 16:49:39,Kayla,Jones
Donut Shop,food_dining,94.33,2019-01-01 16:50:27,Tina,Zimmerman
Overstock Online,shopping_net,88.69,2019-01-01 16:50:29,Margaret,Ward
Walgreens Prescription,health_fitness,21.41,2019-01-01 16:51:07,Jessica,Terry
Sephora Cosmetics,personal_care,34.71,2019-01-01 16:51:12,Margaret,Mendez
Netflix Subscription,entertainment,43.08,2019-01-01 16:52:08,Lori,Bishop
Gap Store,shopping_pos,8.67,2019-01-01 16:52:19,Mackenzie,Smith
School Supplies,kids_pets,55.07,2019-01-01 16:52:19,Joseph,Murray
Gaming Subscription,entertainment,31.86,2019-01-01 16:52:19,Mark,Brown
Kids Activities,kids_pets,58.8,2019-01-01 16:53:06,Thomas,Jenkins
Baby Store Purchase,kids_pets,114.79,2019-01-01 16:53:34,Jennifer,Banks
Life Insurance Payment,misc_pos,12.17,2019-01-01 16:53:53,Samuel,Johnston
Gold Gym Membership,health_fitness,2.69,2019-01-01 16:53:55,Kristen,Hanson
Pet Grooming Service,kids_pets,48.3,2019-01-01 16:54:18,Tanner,Davis
Sephora Cosmetics,personal_care,2.38,2019-01-01 16:54:21,Steven,Castaneda
Physical Therapy,health_fitness,21.88,2019-01-01 16:54:52,Tyler,Wright
Toys R Us,kids_pets,31.7,2019-01-01 16:55:10,John,Davis
Circle K,misc_pos,5.51,2019-01-01 16:56:34,Michael,Francis
Apple Music,entertainment,6.95,2019-01-01 16:57:18,Jeffrey,Rice
Cleaning Service,home,36.53,2019-01-01 16:58:08,Gary,Barnes
Insurance Premium,misc_pos,2.18,2019-01-01 16:59:03,Roberta,Mccarthy
Coffee Shop,food_dining,181.55,2019-01-01 16:59:12,Susan,Hardy
Child Care,kids_pets,32.15,2019-01-01 16:59:33,Karen,Warren
Lawn Care Service,home,28.52,2019-01-01 16:59:57,Daniel,Cain
Barber Shop,personal_care,11.74,2019-01-01 17:00:02,Sarah,Scott
Cafe Lunch,food_dining,3.85,2019-01-01 17:00:17,Jason,Singh
Applebees Grill,food_dining,1.68,2019-01-01 17:00:52,Joshua,Carpenter
Health Checkup,health_fitness,87.81,2019-01-01 17:00:56,Jim,Johnson
Starbucks Coffee,food_dining,4.57,2019-01-01 17:01:13,Margaret,Gibson
Target Toys,kids_pets,1.88,2019-01-01 17:03:18,Valerie,Davis
Child Care,kids_pets,62.0,2019-01-01 17:03:20,Tabitha,Reyes
Apartment Rent,home,96.15,2019-01-01 17:03:38,Sarah,Foster
E-commerce Purchase,shopping_net,9.17,2019-01-01 17:03:45,Dawn,Tucker
House Maintenance,home,41.11,2019-01-01 17:03:52,Samuel,Johnston
McDonalds Restaurant,food_dining,50.61,2019-01-01 17:03:54,Erin,Chavez
Medical Appointment,health_fitness,71.24,2019-01-01 17:04:43,Jared,Walters
Starbucks Coffee,food_dining,49.27,2019-01-01 17:05:04,Margaret,Curtis
Pet Food,kids_pets,39.64,2019-01-01 17:05:22,Michael,Johnson
Petco Pet Store,kids_pets,89.61,2019-01-01 17:05:45,Patrick,Vaughan
Child Care,kids_pets,166.8,2019-01-01 17:06:47,Bridget,Bowen
H&M Fashion,shopping_pos,2.09,2019-01-01 17:07:26,Michelle,Woods
TJ Maxx,shopping_pos,1.6,2019-01-01 17:07:32,Travis,Hayes
Diaper Purchase,kids_pets,38.77,2019-01-01 17:07:42,David,Miller
Airbnb Rental,travel,1.23,2019-01-01 17:08:40,David,Wolfe
Home Depot Store,home,33.14,2019-01-01 17:08:49,Allison,Ayala
Diner Breakfast,food_dining,62.19,2019-01-01 17:08:49,David,Serrano
Delta Airlines Flight,travel,8.06,2019-01-01 17:10:08,Jeremy,Perry
Marshall Store,shopping_pos,9.98,2019-01-01 17:10:16,Kimberly,Miller
Sports Game Tickets,entertainment,71.49,2019-01-01 17:11:17,Ian,Patton
Hilton Hotel,travel,1.99,2019-01-01 17:12:55,Travis,Hayes
Walgreens Prescription,health_fitness,12.58,2019-01-01 17:13:46,Matthew,Young
Zara Clothing,shopping_pos,8.7,2019-01-01 17:14:11,James,Leon
Sephora Cosmetics,personal_care,8.84,2019-01-01 17:14:58,Kayla,Jones
Lawn Care Service,home,36.07,2019-01-01 17:14:58,James,Greene
Old Navy Clothing,shopping_pos,9.83,2019-01-01 17:15:20,Benjamin,Harris
Dermatologist,personal_care,17.69,2019-01-01 17:16:08,Heather,Hines
Kids Clothing Store,kids_pets,120.8,2019-01-01 17:16:17,Kathleen,Martin
Clothing Store,shopping_pos,8.66,2019-01-01 17:16:53,Kevin,Elliott
Cleaning Service,home,238.29,2019-01-01 17:17:37,Amanda,Fitzgerald
Dominos Pizza,food_dining,9.41,2019-01-01 17:19:21,Christopher,Cummings
Convenience Store,misc_pos,4.08,2019-01-01 17:19:32,Megan,Bernard
Planet Fitness Gym,health_fitness,24.75,2019-01-01 17:19:51,Steven,Faulkner
Forever 21,shopping_pos,9.07,2019-01-01 17:20:10,Stephanie,Gill
Daycare Payment,kids_pets,66.94,2019-01-01 17:21:27,Jacob,Weber
Personal Trainer,health_fitness,97.63,2019-01-01 17:21:47,Christopher,Luna
Hair Salon Cut,personal_care,1.91,2019-01-01 17:22:02,Brooke,Rodriguez
Kids Clothing Store,kids_pets,321.89,2019-01-01 17:22:12,Kristen,Hanson
Gold Gym Membership,health_fitness,11.04,2019-01-01 17:22:25,Jacob,Patel
Toys R Us,kids_pets,51.55,2019-01-01 17:22:33,Guy,Thompson
Fashion Retail,shopping_pos,8.28,2019-01-01 17:22:34,Carlos,Chung
Dentist Appointment,personal_care,16.13,2019-01-01 17:23:24,Joanna,Hudson
House Maintenance,home,24.95,2019-01-01 17:24:50,Frank,Anderson
Internet Payment,misc_net,1.06,2019-01-01 17:25:38,Karen,Warren
Internet Order,shopping_net,6.29,2019-01-01 17:27:07,Lisa,Lowe
Domain Registration,misc_net,159.43,2019-01-01 17:29:52,Linda,Davis
Hertz Car Rental,travel,413.17,2019-01-01 17:30:22,Tanner,Carroll
Homeowners Association,home,32.38,2019-01-01 17:30:30,Tammy,Davis
Furniture Store,home,81.25,2019-01-01 17:30:30,Adam,Riddle
Diaper Purchase,kids_pets,84.11,2019-01-01 17:30:44,James,Stephens
Eye Doctor Visit,personal_care,42.26,2019-01-01 17:31:00,Angela,West
Gold Gym Membership,health_fitness,53.32,2019-01-01 17:32:13,Barbara,Taylor
Fashion Retail,shopping_pos,2.7,2019-01-01 17:32:59,Michelle,Johnston
Personal Trainer,health_fitness,72.97,2019-01-01 17:33:41,Louis,Fisher
Fitness Membership,health_fitness,18.4,2019-01-01 17:33:41,Samuel,Short
Dentist Appointment,personal_care,8.83,2019-01-01 17:34:59,Laura,Walker
Nordstrom Online,shopping_net,2.19,2019-01-01 17:35:20,Matthew,Lambert
Home Depot Store,home,8.07,2019-01-01 17:35:46,Shelby,Mitchell
Loan Payment,misc_pos,7.01,2019-01-01 17:36:35,James,Baldwin
Ulta Beauty,personal_care,221.13,2019-01-01 17:36:35,Robert,Holland
Applebees Grill,food_dining,25.98,2019-01-01 17:37:36,Charles,Robles
Electrician Work,home,141.0,2019-01-01 17:37:36,Deborah,Fisher
Home Loan,home,77.97,2019-01-01 17:38:35,Adam,Riddle
Disney Plus,entertainment,49.15,2019-01-01 17:39:45,Daniel,Escobar
Ulta Beauty,personal_care,30.42,2019-01-01 17:39:46,Margaret,Curtis
Dermatologist,personal_care,1.16,2019-01-01 17:40:01,Dawn,Gray
Menards Hardware,home,300.25,2019-01-01 17:40:07,Jason,Singh
Barber Shop,personal_care,37.56,2019-01-01 17:41:07,Nathan,Mendoza
Hair Salon Cut,personal_care,30.78,2019-01-01 17:41:20,Lindsay,Wilson
Prescription Medicine,health_fitness,78.27,2019-01-01 17:41:37,Teresa,Stein
Medical Appointment,health_fitness,75.78,2019-01-01 17:41:39,Jessica,Benitez
House Rent,home,58.85,2019-01-01 17:41:42,Karen,Johnson
Online Shopping,shopping_net,7.42,2019-01-01 17:42:10,Christine,Harris
Amazon Purchase,shopping_net,2.03,2019-01-01 17:42:24,Christina,Rose
Apartment Rent,home,18.1,2019-01-01 17:42:39,Erika,Anderson
Hulu Streaming,entertainment,27.4,2019-01-01 17:43:54,Donna,Davis
Diner Breakfast,food_dining,20.2,2019-01-01 17:44:12,Erin,Chavez
Personal Trainer,health_fitness,95.73,2019-01-01 17:44:39,Christopher,Horn
Pizza Hut,food_dining,80.77,2019-01-01 17:45:06,Jessica,Perez
Burger King,food_dining,58.91,2019-01-01 17:45:15,Jenna,Brooks
Home Depot Store,home,88.29,2019-01-01 17:46:30,Billy,Gallagher
Veterinarian Visit,kids_pets,4.19,2019-01-01 17:46:59,William,Thompson
Macys Online,shopping_net,214.84,2019-01-01 17:47:04,Tammy,Ayers
Macys Online,shopping_net,155.81,2019-01-01 17:47:27,Tara,Campbell
Electrician Work,home,22.67,2019-01-01 17:47:36,Jonathan,Castro
LA Fitness,health_fitness,75.21,2019-01-01 17:48:00,Tanner,Carroll
Macys Online,shopping_net,4.73,2019-01-01 17:48:31,Shelby,Mitchell
Fast Food,food_dining,3.11,2019-01-01 17:49:25,Carolyn,Perez
Sephora Cosmetics,personal_care,69.36,2019-01-01 17:49:49,Omar,Gay
Massage Therapy,personal_care,45.24,2019-01-01 17:50:04,Barbara,Lowe
Delta Airlines Flight,travel,3.26,2019-01-01 17:50:43,Joshua,Mendoza
LA Fitness,health_fitness,64.24,2019-01-01 17:51:08,Dawn,Stephens
Kids Clothing Store,kids_pets,67.01,2019-01-01 17:51:36,Ashley,Whitehead
Kids Clothing Store,kids_pets,25.67,2019-01-01 17:51:51,Cristian,Jones
Child Care,kids_pets,44.37,2019-01-01 17:53:35,Edward,Hensley
Online Subscription,misc_net,103.21,2019-01-01 17:54:50,Lisa,Collins
Kids Activities,kids_pets,23.21,2019-01-01 17:55:02,Bryan,Miller
Veterinarian Visit,kids_pets,66.02,2019-01-01 17:55:07,Maria,Garcia
LA Fitness,health_fitness,18.11,2019-01-01 17:55:28,Claire,Davis
Day Spa,personal_care,149.54,2019-01-01 17:55:43,Kimberly,Rice
Loan Payment,misc_pos,99.24,2019-01-01 17:55:50,Charles,Robles
CVS Pharmacy Medicine,health_fitness,76.59,2019-01-01 17:56:57,Robert,Goodman
Water Bill,home,13.48,2019-01-01 17:58:07,Jerry,Kelly
Personal Trainer,health_fitness,97.04,2019-01-01 18:00:07,Sara,Ramirez
Arcade Games,entertainment,117.26,2019-01-01 18:00:10,Christina,Rose
Pet Grooming Service,kids_pets,53.95,2019-01-01 18:00:14,Tami,Forbes
Etsy Handmade,shopping_net,4.3,2019-01-01 18:00:44,Dwayne,Martinez
PetSmart,kids_pets,7.14,2019-01-01 18:01:28,Carrie,Washington
Beauty Treatment,personal_care,1.94,2019-01-01 18:01:30,Megan,Murphy
Apartment Rent,home,86.44,2019-01-01 18:01:44,Michael,Flores
Cafe Lunch,food_dining,5.15,2019-01-01 18:01:58,Cassandra,Nunez
Home Goods Store,home,153.04,2019-01-01 18:02:41,Felicia,Mckee
Furniture Store,home,57.61,2019-01-01 18:03:33,Stanley,Mayo
Pet Grooming Service,kids_pets,37.06,2019-01-01 18:04:11,Brian,Simpson
Bed Bath Beyond,home,22.9,2019-01-01 18:05:19,Erica,Walker
Chilis Restaurant,food_dining,137.32,2019-01-01 18:05:50,Jennifer,Garcia
Lawn Care Service,home,74.94,2019-01-01 18:06:18,Ashley,Whitney
Walgreens Store,misc_pos,45.85,2019-01-01 18:06:24,Sarah,Foster
Physical Therapy,health_fitness,12.7,2019-01-01 18:06:33,Charles,Robles
Loan Payment,misc_pos,6.85,2019-01-01 18:08:38,Christine,Harris
Pizza Hut,food_dining,69.99,2019-01-01 18:09:24,Kenneth,Edwards
AMC Movie Theater,entertainment,33.4,2019-01-01 18:09:49,Allison,Ayala
Kids Activities,kids_pets,97.2,2019-01-01 18:10:18,Amy,Daugherty
LA Fitness,health_fitness,74.4,2019-01-01 18:11:43,Adam,Riddle
Delta Airlines Flight,travel,7.58,2019-01-01 18:11:47,Jonathan,Castro
Home Goods Store,home,76.36,2019-01-01 18:11:56,Tanner,Carroll
Walgreens Prescription,health_fitness,25.59,2019-01-01 18:12:33,Kenneth,Edwards
Target Toys,kids_pets,42.08,2019-01-01 18:13:24,Randall,Burgess
Baby Store Purchase,kids_pets,81.07,2019-01-01 18:14:04,Monica,Tucker
Apartment Rent,home,13.59,2019-01-01 18:14:06,Jennifer,Gonzalez
Home Repair,home,2.32,2019-01-01 18:14:08,Brooke,Fisher
Enterprise Rental,travel,461.28,2019-01-01 18:14:30,Aaron,Murray
Personal Trainer,health_fitness,14.64,2019-01-01 18:14:59,Tanya,Williams
Yoga Studio Class,health_fitness,38.46,2019-01-01 18:15:31,Jennifer,Vega
House Maintenance,home,23.05,2019-01-01 18:15:45,Justin,Gay
Macys Department,shopping_pos,12.31,2019-01-01 18:17:13,Theresa,Powell
Theme Park,entertainment,74.91,2019-01-01 18:18:29,Robert,Goodman
Kids Activities,kids_pets,99.84,2019-01-01 18:18:48,Timothy,Gomez
Dominos Pizza,food_dining,44.46,2019-01-01 18:18:51,Nicholas,Osborne
American Airlines,travel,4.27,2019-01-01 18:18:52,Paula,Estrada
Menards Hardware,home,43.58,2019-01-01 18:19:08,Lindsay,Wilson
Paint Store,home,107.64,2019-01-01 18:19:25,Joshua,Bryant
Amazon Purchase,shopping_net,3.25,2019-01-01 18:19:25,Dawn,Gray
Child Care,kids_pets,28.67,2019-01-01 18:20:02,Alicia,Miller
House Rent,home,53.3,2019-01-01 18:20:34,Kayla,Jones
Best Buy Online,shopping_net,1.92,2019-01-01 18:20:38,Angela,Taylor
Forever 21,shopping_pos,137.93,2019-01-01 18:21:25,Greg,Villarreal
Mini Golf,entertainment,30.22,2019-01-01 18:21:36,Melissa,Mcclure
Daycare Payment,kids_pets,56.44,2019-01-01 18:22:12,Stephanie,Cummings
Internet Bill,home,200.48,2019-01-01 18:22:26,Ronald,Carson
Home Repair,home,7.57,2019-01-01 18:22:52,Belinda,Jimenez
Pet Food,kids_pets,98.6,2019-01-01 18:23:30,Christine,Harris
PetSmart,kids_pets,32.79,2019-01-01 18:23:55,Teresa,Clark
Diaper Purchase,kids_pets,70.31,2019-01-01 18:24:09,Crystal,Gamble
Dermatologist,personal_care,73.84,2019-01-01 18:24:20,Ana,Howell
Beauty Treatment,personal_care,77.05,2019-01-01 18:24:37,Matthew,Huerta
Miscellaneous Purchase,misc_pos,6.41,2019-01-01 18:24:50,Steven,Walters
Beauty Treatment,personal_care,24.77,2019-01-01 18:25:28,Jason,Gray
IKEA Furniture,home,16.96,2019-01-01 18:25:42,Joanne,Padilla
Booking Hotel,travel,2.48,2019-01-01 18:26:24,Tanya,Williams
Electric Bill,home,61.05,2019-01-01 18:27:09,Sheila,Baker
Rent Payment,home,39.8,2019-01-01 18:27:19,Catherine,Weber
Circle K,misc_pos,11.64,2019-01-01 18:28:56,Aaron,Stewart
Eye Doctor Visit,personal_care,109.57,2019-01-01 18:29:22,Allison,Ayala
Salon Services,personal_care,73.86,2019-01-01 18:29:51,Terrance,Mckinney
Hospital Bill,health_fitness,17.66,2019-01-01 18:30:37,Emily,Hall
LA Fitness,health_fitness,89.9,2019-01-01 18:30:44,Kristen,Hanson
Macys Online,shopping_net,8.81,2019-01-01 18:30:47,Victoria,Fleming
Home Goods Store,home,14.71,2019-01-01 18:30:53,Lisa,Lowe
Restaurant Dinner,food_dining,30.0,2019-01-01 18:31:24,Lauren,Torres
Flight Ticket,travel,6.23,2019-01-01 18:31:33,Casey,Howell
Victoria Secret,shopping_pos,362.86,2019-01-01 18:32:09,Kevin,Elliott
IKEA Furniture,home,43.9,2019-01-01 18:32:12,Kenneth,Richards
7-Eleven Store,misc_pos,28.03,2019-01-01 18:32:23,Jodi,Rodriguez
Subway Sandwich,food_dining,112.61,2019-01-01 18:32:43,Jenna,Brooks
Veterinarian Visit,kids_pets,48.81,2019-01-01 18:33:44,Louis,Fisher
Amusement Park,entertainment,124.42,2019-01-01 18:36:40,Breanna,Rodriguez
Kids Clothing Store,kids_pets,220.47,2019-01-01 18:37:01,Alan,Taylor
Rite Aid Pharmacy,misc_pos,3.15,2019-01-01 18:37:10,Laura,Johns
Cafe Lunch,food_dining,82.57,2019-01-01 18:37:23,Holly,Mann
Cloud Storage Fee,misc_net,100.93,2019-01-01 18:39:21,Jose,Vasquez
Zappos Shoes,shopping_net,47.79,2019-01-01 18:39:40,Sharon,Smith
Hardware Store,misc_pos,6.77,2019-01-01 18:40:15,Teresa,Stein
Prescription Medicine,health_fitness,3.97,2019-01-01 18:40:17,Wayne,Payne
Bed Bath Beyond,home,19.04,2019-01-01 18:40:20,Margaret,Gibson
Victoria Secret,shopping_pos,3.63,2019-01-01 18:42:25,Pamela,Lewis
Salon Services,personal_care,26.54,2019-01-01 18:42:49,Kristin,Williams
Starbucks Coffee,food_dining,7.08,2019-01-01 18:43:10,Renee,Parrish
Personal Grooming,personal_care,1.68,2019-01-01 18:45:34,Tammy,Ayers
TJ Maxx,shopping_pos,4.39,2019-01-01 18:45:44,Kendra,King
Macys Department,shopping_pos,3.89,2019-01-01 18:45:59,Dawn,Gray
Veterinarian Visit,kids_pets,29.8,2019-01-01 18:46:20,Robert,Haynes
Applebees Grill,food_dining,66.7,2019-01-01 18:46:36,Jessica,Ward
Spotify Premium,entertainment,177.71,2019-01-01 18:47:23,Angela,Taylor
Best Buy Electronics,shopping_pos,1.81,2019-01-01 18:48:04,Jessica,Bell
Target Toys,kids_pets,17.46,2019-01-01 18:48:16,Jessica,Ward
Beauty Supply Store,personal_care,7.43,2019-01-01 18:48:50,Jeffrey,Munoz
Homeowners Association,home,19.76,2019-01-01 18:50:17,Larry,House
Pet Food,kids_pets,41.02,2019-01-01 18:51:00,Lisa,Lin
Pet Grooming Service,kids_pets,77.7,2019-01-01 18:51:06,Brianna,Page
Enterprise Rental,travel,3178.51,2019-01-01 18:51:15,Mark,Brown
Home Loan,home,16.71,2019-01-01 18:51:27,Christine,Shaffer
Hulu Streaming,entertainment,61.7,2019-01-01 18:52:10,Charles,Moreno
Nordstrom Online,shopping_net,2.46,2019-01-01 18:52:25,Amanda,Smith
CVS Pharmacy Medicine,health_fitness,59.84,2019-01-01 18:52:29,James,Strickland
Domain Registration,misc_net,48.28,2019-01-01 18:52:38,Gary,Barnes
Clothing Store,shopping_pos,303.79,2019-01-01 18:53:01,Crystal,Gamble
General Store,misc_pos,248.54,2019-01-01 18:53:32,Christopher,Luna
JCPenney,shopping_pos,218.97,2019-01-01 18:53:45,James,Baldwin
Doctor Visit,health_fitness,34.81,2019-01-01 18:54:07,Margaret,Williams
Target Online,shopping_net,1.15,2019-01-01 18:54:09,Amanda,Gomez
Nordstrom Store,shopping_pos,4.65,2019-01-01 18:54:22,Kathryn,Smith
Medical Appointment,health_fitness,11.66,2019-01-01 18:56:04,Kathleen,Nash
Panera Bread,food_dining,2.49,2019-01-01 18:56:05,Margaret,Gibson
Hospital Bill,health_fitness,6.76,2019-01-01 18:56:06,Scott,Martin
PetSmart,kids_pets,6.21,2019-01-01 18:57:06,Dawn,Gray
School Supplies,kids_pets,77.11,2019-01-01 18:57:08,Alicia,Morales
Rite Aid Pharmacy,misc_pos,2.48,2019-01-01 18:57:40,James,Leon
Electrician Work,home,31.55,2019-01-01 18:57:45,Jerry,Perkins
Fitness Membership,health_fitness,56.25,2019-01-01 18:58:56,Richard,Vance
Burger King,food_dining,136.51,2019-01-01 18:59:05,Kristina,Lewis
PayPal Payment,misc_net,229.3,2019-01-01 19:00:06,Gina,Grimes
